"","col_no","trt","time_point","date","days","q_status","q_event","pattern","notes","est_bee_num_by_wt","est_bee_num_by_wt_floor","mites_recov_3_washes","bees_without_mites","phor2","infest_200","dwv_num_sides_obs","dwv_tf","cdb_num_sides_obs","bees","wk_cells","dr_capbrd_cells_num","phoretic_mites_num_estimate","wk_cells_infested_estimate","dr_cells_infested_estimate","mites_total_estimate","cap_brd_indiv","indiv_total","indiv_adult_pct","indiv_capbrd_pct","bees_frames","wk_frames","honey_frames","pollen_frames","fob_at_all","fob_top_bip","pre_pattern","pre_phor2","pre_infest_200","pre_mites_tot","pre_bees","pre_bees_frames","pre_wk_cells","pre_wk_frames","pre_honey_frames","pre_pollen_frames"
"27","D12","AEC",1,"18-Sep","0","QS-B","",2.75,"",349.6,349,70,279,20.0228832951945,43,8,1,0,6226.88,18392,485.1,1246,3954,67,5269,18877.1,25103.98,24.804353731958,75.195646268042,2.5625,2.75,5.925,1.2,NA,NA,2.75,20.0228832951945,43,5269,6226.88,2.5625,18392,2.75,5.925,1.2
"28","D33","AEC",1,"18-Sep","0","QS-B","",1.5,"",291.9,291,59,232,20.2124015073655,71,5,1,1,5346,13125.2,53.9,1080,4659,NA,5740,13179.1,18525.1,28.8581438156879,71.1418561843121,2.2,1.9625,5.425,0.475,NA,NA,1.5,20.2124015073655,71,5740,5346,2.2,13125.2,1.9625,5.425,0.475
"29","D27","Apiguard_Api",1,"18-Sep","0","QS-B","",3.5,"",263.3,263,53,210,20.1291302696544,59,11,1,1,14640.75,18392,916.3,2947,5425,439,8812,19308.3,33949.05,43.1256544733947,56.8743455266053,6.025,2.75,2.465,0.275,NA,NA,3.5,20.1291302696544,59,8812,14640.75,6.025,18392,2.75,2.465,0.275
"30","D28","Apiguard_Api",1,"18-Sep","0","QS-B","",3.5,"Defensive",329,329,51,278,15.5015197568389,39,1,1,2,13425.75,17388.8,700.7,2081,3390,560,6032,18089.5,31515.25,42.6008043724863,57.3991956275137,5.525,2.6,3.725,0.45,NA,NA,3.5,15.5015197568389,39,6032,13425.75,5.525,17388.8,2.6,3.725,0.45
"31","D30","AEC",1,"18-Sep","0","QS-B","",2.5,"Viral vial died before going into dry ice. Iced before end of next hive though",308.9,308,15,293,4.85594043379735,16,0,1,0,16694.1,20147.6,269.5,810,1611,140,2562,20417.1,37111.2,44.9839940503136,55.0160059496863,6.87,3.0125,2.815,0.125,NA,NA,2.5,4.85594043379735,16,2562,16694.1,6.87,20147.6,3.0125,2.815,0.125
"32","C33","Apivar",1,"19-Sep","0","QS-P","",2.5,"""Queen cells - cut""",333.2,333,65,268,19.5078031212485,85,0,1,0,12818.25,8778,107.8,2500,3730,89,6320,8885.8,21704.05,59.0592539180476,40.9407460819524,5.275,1.3125,5.25,0.95,NA,NA,2.5,19.5078031212485,85,6320,12818.25,5.275,8778,1.3125,5.25,0.95
"33","C6","Apiguard_Api",1,"19-Sep","0","QR","",2,"",347.3,347,82,265,23.610711200691,42,3,1,0,8687.25,16803.6,107.8,2051,3528,NA,5580,16911.4,25598.65,33.9363599252304,66.0636400747696,3.575,2.5125,4.025,0.34,NA,NA,2,23.610711200691,42,5580,8687.25,3.575,16803.6,2.5125,4.025,0.34
"34","BC15","Apivar",1,"19-Sep","0","QR","",3,"",303.9,303,50,253,16.4527805199079,68,1,1,2,13000.5,18559.2,323.4,2138,6310,NA,8448,18882.6,31883.1,40.7755205735954,59.2244794264046,5.35,2.775,5.775,1.325,NA,NA,3,16.4527805199079,68,8448,13000.5,5.35,18559.2,2.775,5.775,1.325
"35","N42","AEC",1,"19-Sep","0","QR","",2.5,"",409.4,409,56,353,13.6785539814362,57,0,1,0,13699.13,14880.8,53.9,1873,4241,NA,6114,14934.7,28633.83,47.8424646650483,52.1575353349517,5.6375,2.225,5.29,0.215,NA,NA,2.5,13.6785539814362,57,6114,13699.13,5.6375,14880.8,2.225,5.29,0.215
"36","D26","AEC",1,"18-Sep","0","QS-B","",2.5,"",309.7,309,38,271,12.2699386503067,20,7,0,5,10388.25,22070.4,53.9,1274,2207,18,3500,22124.3,32512.55,31.9515079561585,68.0484920438415,4.275,3.3,2.65,0.125,NA,NA,2.5,12.2699386503067,20,3500,10388.25,4.275,22070.4,3.3,2.65,0.125
